word;is_positive;is_negative;sentiment;is_neutral;anger;anticipation;disgust;fear;joy;sadness;surprise;trust
абайлау;0;0;0;1;0;0;0;0;0;0;0;0
абайсыз;0;1;-1;0;0;0;0;0;0;1;0;0
абайсыздық;0;1;-1;0;1;0;1;0;0;0;0;0
абдырау;0;0;0;0;0;0;0;1;0;0;1;0
абзац;0;0;0;1;0;0;0;0;0;0;0;0
аборт;0;1;-1;0;0;0;1;1;0;1;0;0
абсолютті;1;0;1;0;0;0;0;0;0;0;0;0
абыржыған;0;1;-1;0;0;0;0;1;0;1;0;0
абырой;1;0;1;0;0;0;0;0;0;0;0;1
абыройлы;1;0;1;0;0;0;0;0;0;0;0;0
абыройсыздық;0;1;-1;0;1;0;1;1;0;1;0;0
автобус;1;0;1;0;0;0;0;0;1;0;0;0
автограф;0;0;0;1;0;0;0;0;0;0;0;0
автоматты;0;0;0;0;0;0;0;0;0;0;0;1
автор;1;0;1;0;0;0;0;0;0;0;0;1
авторлық;0;0;0;1;0;0;0;0;0;0;0;0
авторлық құқық;0;0;0;1;0;0;0;0;0;0;0;0
агностикалық;0;0;0;1;0;0;0;0;0;0;0;0
агрессивті;0;1;-1;0;1;0;0;1;0;0;0;0
агрессия;0;1;-1;0;1;0;0;1;0;0;0;0
агрессор;0;1;-1;0;1;0;0;1;0;0;0;0
аға;1;0;1;0;0;0;0;0;0;0;0;1
ағайындар;0;0;0;1;0;0;0;0;0;0;0;0
ағартқыш;0;0;0;1;0;0;0;0;0;0;0;0
ағарту;1;0;1;0;0;0;0;0;1;0;0;1
ағаш;0;0;0;1;0;0;0;0;0;0;0;0
ағаш ұстасы;0;0;0;1;0;0;0;0;0;0;0;0
ағу;0;1;-1;0;0;0;0;0;0;0;0;0
ағын;1;0;1;0;0;0;0;0;0;0;0;0
ағып кету;0;1;-1;0;0;0;0;0;0;0;0;0
адал;1;0;1;0;0;0;0;0;0;0;0;1
адалсыз;0;1;-1;0;0;0;0;0;0;0;0;0
адам;0;0;0;1;0;0;0;0;0;0;0;0
адам баласы;0;0;0;1;0;0;0;0;0;0;0;0
адамдар;0;0;0;1;0;0;0;0;0;0;0;0
адамзат;1;0;1;0;0;0;0;0;1;0;0;1
адасқан;0;1;-1;0;0;0;0;0;0;1;0;0
адасу;0;1;-1;0;0;0;0;0;0;0;0;0
адасушылық;0;1;-1;0;1;0;0;1;0;0;0;0
адуынды;0;1;-1;0;0;0;0;0;0;0;0;0
ажырамас;1;0;1;0;0;0;0;0;0;0;0;0
ажырасқан;0;1;-1;0;0;0;0;0;0;0;0;0
ажырасу;0;1;-1;0;1;0;1;1;0;1;1;1
ажыратқыш;0;1;-1;0;0;0;0;0;0;0;0;0
ажырату;0;1;-1;0;0;0;0;0;0;1;0;0
ажыратылған;0;1;-1;0;0;0;0;0;0;1;0;0
азайту;0;0;0;1;0;0;0;0;0;0;0;0
азайтылмайтын;1;0;1;0;0;0;0;0;0;0;0;0
азамат;1;0;1;0;0;0;0;0;0;0;0;0
азаматтық;1;0;1;0;0;0;0;0;0;0;0;0
азаю;0;1;-1;0;0;0;0;0;0;1;0;0
азаюы;0;0;0;1;0;0;0;0;0;0;0;0
азғындаған;0;1;-1;0;1;1;1;1;0;1;0;0
азғындау;0;1;-1;0;0;0;0;0;0;0;0;0
азғындық;0;1;-1;0;1;0;1;0;0;1;0;0
азғыру;0;1;-1;0;1;0;0;0;0;0;0;0
аздық;0;1;-1;0;1;0;1;0;0;1;0;0
азу;0;0;0;0;0;0;0;1;0;0;0;0
азшылық;0;1;-1;0;0;0;0;0;0;0;0;0
азық-түлік;0;0;0;1;0;0;0;0;0;0;0;0
ай;1;0;1;0;0;0;0;0;0;0;0;0
ай сайын;0;0;0;1;0;0;0;0;0;0;0;0
ай сәулесі;0;0;0;1;0;0;0;0;0;0;0;0
айбатты;0;0;0;0;0;0;0;1;0;0;0;0
айбынды;1;0;1;0;0;1;0;0;1;0;1;1
айғайшыл;0;1;-1;0;0;0;0;0;0;0;0;0
айғыр;1;0;1;0;0;0;0;0;0;0;0;0
айдары;1;0;1;0;0;0;0;0;0;0;0;0
айдау;1;0;1;0;0;0;0;0;0;0;0;0
айдаһар;0;0;0;0;0;0;0;1;0;0;0;0
айқай;0;0;0;0;1;0;0;0;0;0;1;0
айқайлау;0;1;-1;0;1;0;1;1;0;0;1;0
айқайлаушы;0;1;-1;0;0;0;0;0;0;0;0;0
айқайшы;0;0;0;1;0;0;0;0;0;0;0;0
айқын;1;0;1;0;0;0;0;0;0;0;0;1
айқындық;1;0;1;0;0;0;0;0;0;0;0;0
айлакер;0;1;-1;0;0;0;0;0;0;0;0;0
айлақ;1;0;1;0;0;0;0;0;0;0;0;1
аймақ;0;0;0;1;0;0;0;0;0;0;0;0
аймақтық;0;0;0;1;0;0;0;0;0;0;0;0
аймақшылдық;0;0;0;1;0;0;0;0;0;0;0;0
айна;0;0;0;1;0;0;0;0;0;0;0;0
айнала;0;0;0;1;0;0;0;0;0;0;0;0
айналдыру;1;0;1;0;0;0;0;0;1;0;0;0
айналма;0;0;0;1;0;0;0;0;0;0;0;0
айналма жол;0;0;0;1;0;0;0;0;0;0;0;0
айналмалы;0;0;0;1;0;0;0;0;0;0;0;0
айналмалы үстел;0;0;0;1;0;0;0;0;0;0;0;0
айналу;1;0;1;0;0;0;0;0;0;0;0;1
айналым;0;0;0;1;0;0;0;0;0;0;0;0
айналысқан;1;0;1;0;0;1;0;0;1;0;0;1
айналысу;0;0;0;1;0;0;0;0;0;0;0;0
айну;0;1;-1;0;0;0;0;0;0;0;0;0
айнымалы;0;0;0;0;0;0;0;0;0;0;1;0
айсберг;0;0;0;1;0;0;0;0;0;0;0;0
айсыз;0;1;-1;0;0;0;0;0;0;0;0;0
айт;0;0;0;1;0;0;0;0;0;0;0;0
айтақыр;0;1;-1;0;0;0;0;0;0;0;0;0
айтарлықтай;1;0;1;0;0;0;0;0;0;0;0;0
айту;1;0;1;0;0;0;0;0;0;0;0;0
айтылған;0;0;0;1;0;0;0;0;0;0;0;0
айтылды;0;0;0;1;0;0;0;0;0;0;0;0
айтылу;0;0;0;1;0;0;0;0;0;0;0;0
айтылым;0;0;0;1;0;0;0;0;0;0;0;0
айтып жеткізу мүмкін емес;0;0;0;1;0;0;0;0;0;0;0;0
айуандық;0;1;-1;0;0;0;0;0;0;0;0;0
айып;0;1;-1;0;0;0;0;0;0;0;0;0
айыпкер;0;1;-1;0;0;0;0;0;0;0;0;0
айыпталушы;0;1;-1;0;1;0;0;1;0;0;0;0
айыптау;0;1;-1;0;1;0;1;0;0;0;0;0
айыптаушы;0;1;-1;0;1;0;0;1;0;0;0;0
айыр;0;0;0;1;0;0;0;0;0;0;0;0
айырбасталатын;0;0;0;1;0;0;0;0;0;0;0;0
айырбастау;1;0;1;0;0;0;0;0;0;0;0;1
айырмашылығы;0;0;0;1;0;0;0;0;0;0;0;0
айырмашылық;0;0;0;1;0;0;0;0;0;0;0;0
айырмашылықтар;0;0;0;1;0;0;0;0;0;0;0;0
айыру;0;0;0;1;0;0;0;0;0;0;0;0
айырылу;0;1;-1;0;0;0;0;0;0;0;0;0
айырым белгілері;1;0;1;0;0;0;0;0;0;0;0;0
айыpылған;0;1;-1;0;0;0;0;0;0;0;0;0
академиялық;1;0;1;0;0;0;0;0;0;0;0;1
аксессуар;0;0;0;1;0;0;0;0;0;0;0;0
аксиома;0;0;0;0;0;0;0;0;0;0;0;1
аксиоматикалық;0;0;0;0;0;0;0;0;0;0;0;1
актер;0;0;0;1;0;0;0;0;0;0;0;0
актерлік;0;0;0;1;0;0;0;0;0;0;0;0
активтер;1;0;1;0;0;0;0;0;0;0;0;0
акула;0;1;-1;0;0;0;0;0;0;0;0;0
акустика;0;0;0;1;0;0;0;0;0;0;0;0
акустикалық;0;0;0;1;0;0;0;0;0;0;0;0
акушер;1;1;0;0;0;1;0;0;1;0;0;1
акушерия;1;0;1;0;0;0;0;0;0;0;0;0
акушерлік;0;0;0;1;0;0;0;0;0;0;0;0
акционер;0;0;0;1;0;0;0;0;0;0;0;0
ақау;0;1;-1;0;1;0;0;0;0;0;0;0
ақауы бар;0;1;-1;0;0;0;1;0;0;0;0;0
ақбауыр;0;1;-1;0;0;0;0;0;0;0;0;0
ақжелкен;0;0;0;1;0;0;0;0;0;0;0;0
ақиқат;1;0;1;0;0;1;0;0;1;0;1;1
аққу;0;0;0;1;0;0;0;0;0;0;0;0
аққұба;0;0;0;1;0;0;0;0;0;0;0;0
ақпарат;1;0;1;0;0;0;0;0;0;0;0;0
ақсақал;1;0;1;0;0;0;0;0;0;0;0;1
ақсақалдар;1;0;1;0;0;0;0;0;0;0;0;1
ақсүйек;0;0;0;1;0;0;0;0;0;0;0;0
ақсүйектер;1;0;1;0;0;0;0;0;0;0;0;0
ақталған;1;0;1;0;0;0;0;0;0;0;0;1
ақталды;1;0;1;0;0;0;0;0;0;0;0;0
ақталмайтын;0;1;-1;0;0;0;0;0;0;0;0;0
ақталмау;0;1;-1;0;0;0;0;0;0;0;0;0
ақтау;1;0;1;0;1;1;0;0;1;0;0;1
ақуыз;0;0;0;1;0;0;0;0;0;0;0;0
ақша;1;0;1;0;1;1;0;0;1;0;1;1
ақша аудару;0;0;0;1;0;0;0;0;0;0;0;0
ақшалай;1;0;1;0;0;1;0;0;0;0;0;0
ақшыл;0;0;0;1;0;0;0;0;0;0;0;0
ақшылдық;1;0;1;0;0;0;0;0;1;0;0;0
ақыл;1;0;1;0;0;0;0;1;1;0;0;1
ақылгөйсі;0;1;-1;0;0;0;0;0;0;0;0;0
ақылды;1;0;1;0;0;1;0;0;0;0;0;1
ақылдылық;1;0;1;0;0;0;0;0;0;0;0;0
ақылсыз;0;0;0;0;0;0;0;0;0;0;1;0
ақылсыздық;0;1;-1;0;0;0;0;0;0;0;0;0
ақылы;0;1;-1;0;0;0;0;1;0;1;0;0
ақымақ;0;1;-1;0;0;0;1;0;0;0;0;0
ақымақтық;0;1;-1;0;0;0;0;0;0;0;0;0
ақын;0;0;0;1;0;0;0;0;0;0;0;0
ақырет;0;1;-1;0;0;0;0;0;0;0;0;0
ақырсыз;0;1;-1;0;0;0;0;0;0;0;0;0
ақыртас;0;1;-1;0;0;0;0;0;0;0;0;0
ақырында;1;0;1;0;0;1;1;0;1;0;1;1
ақырып-зекір;0;1;-1;0;0;0;0;0;0;0;0;0
ақырып-кіжін;0;1;-1;0;0;0;0;0;0;0;0;0
ал;0;0;0;1;0;0;0;0;0;0;0;0
ала кету;0;0;0;1;0;0;0;0;0;0;0;0
ала түсті;0;0;0;1;0;0;0;0;0;0;0;0
алабұға;0;0;0;1;0;0;0;0;0;0;0;0
алақан;0;0;0;1;0;0;0;0;0;0;0;0
алақол;0;1;-1;0;0;0;1;0;0;0;0;0
алаң;0;0;0;1;0;0;0;0;0;0;0;0
алаңдатарлық;0;1;-1;0;0;0;0;1;0;0;1;0
алаңдату;0;1;-1;0;0;0;0;0;0;0;0;0
алаңдау;0;1;-1;0;0;0;0;0;0;0;0;0
алаңдаулы;0;0;0;1;0;0;0;0;0;0;0;0
алаңдаушылық;0;0;0;0;0;0;0;1;0;1;0;0
алапат;0;1;-1;0;1;0;1;1;0;1;1;0
